Ship Name                                    ,Record Group,Entry Number,Box or Volume Number,Digital Directory ,Start Date,End Date,Box or Volume Number,Assets,Number of Images,Number of Pages,NARA URL,Geographic Focus
ADAMS,24,118,"Volumes 45, 46, 47",adams-1900,12/31/1899,12/31/1900,"Volumes 45, 46, 47",3,494,988,https://catalog.archives.gov/id/33208929,Arctic
ADAMS,24,118,Volume 47,adams-1901,01/01/1901,05/11/1901,Volume 47,1,166,332,https://catalog.archives.gov/id/33209425,Arctic
ADAMS,24,118,Volume 48,adams-1902,08/30/1902,12/31/1902,Volume 48,1,139,278,https://catalog.archives.gov/id/33209593,Arctic
ADAMS,24,118,"Volumes 48, 49, 50",adams-1903,01/01/1903,12/31/1903,"Volumes 48, 49, 50",3,411,822,https://catalog.archives.gov/id/33209734,Arctic
ADAMS,24,118,"Volumes 50, 51",adams-1904,01/01/1904,12/31/1904,"Volumes 50, 51",2,443,886,https://catalog.archives.gov/id/33210147,Arctic
ADAMS,24,118,"Volumes 51, 52, 53",adams-1905,01/01/1905,12/31/1905,"Volumes 51, 52, 53",3,460,920,https://catalog.archives.gov/id/33210592,Arctic
ADAMS,24,118,"Volumes 54, 55",adams-1906,01/01/1906,12/31/1906,"Volumes 54, 55",2,425,850,https://catalog.archives.gov/id/33211054,Arctic
ADAMS,24,118,"Volumes 56, 57",adams-1907,01/01/1907,12/31/1907,"Volumes 56, 57",2,714,1428,https://catalog.archives.gov/id/33211481,Arctic
ADAMS,24,118,"Volumes 2,3,5",adams-1877,01/01/1877,12/31/1877,"Volumes 2,3,5",3,398,796,https://catalog.archives.gov/id/33201337,Arctic
ADAMS,24,118,"Volumes 5,7,9",adams-1878,01/01/1878,12/31/1878,"Volumes 5,7,9",3,398,796,https://catalog.archives.gov/id/33201737,Arctic
ADAMS,24,118,"Volumes 9,10,11",adams-1879,01/01/1879,12/31/1879,"Volumes 9,10,11",3,413,826,https://catalog.archives.gov/id/33202137,Arctic
ADAMS,24,118,"Volumes 11,12,13",adams-1880,01/01/1880,12/31/1880,"Volumes 11,12,13",3,424,848,https://catalog.archives.gov/id/33202552,Arctic
ADAMS,24,118,"Volumes 13,14,15",adams-1881,01/01/1881,12/31/1881,"Volumes 13,14,15",3,407,814,https://catalog.archives.gov/id/33202978,Arctic
ADAMS,24,118,"Volumes 15, 16, 17",adams-1882,01/01/1882,12/31/1882,"Volumes 15, 16, 17",3,395,790,https://catalog.archives.gov/id/33203387,Arctic
ADAMS,24,118,"Volumes 17, 18, 19",adams-1883,01/01/1883,12/31/1883,"Volumes 17, 18, 19",3,385,770,https://catalog.archives.gov/id/33203784,Arctic
ADAMS,24,118,"Volumes 19, 20",adams-1884,01/01/1884,09/20/1884,"Volumes 19, 20",2,282,564,https://catalog.archives.gov/id/33204171,Arctic
ADAMS,24,118,"Volumes 21, 22, 23",adams-1886,01/01/1886,12/31/1886,"Volumes 21, 22, 23",3,387,774,https://catalog.archives.gov/id/33204530,Arctic
ADAMS,24,118,"Volumes 23, 24, 25",adams-1887,01/01/1887,12/31/1887,"Volumes 23, 24, 25",3,388,776,https://catalog.archives.gov/id/33204919,Arctic
ADAMS,24,118,"Volumes 25, 26, 27",adams-1888,01/01/1888,12/31/1888,"Volumes 25, 26, 27",3,384,768,https://catalog.archives.gov/id/33205309,Arctic
ADAMS,24,118,"Volumes 27, 28, 29, 30",adams-1889,01/01/1889,12/31/1889,"Volumes 27, 28, 29, 30",4,375,750,https://catalog.archives.gov/id/33205695,Arctic
ADAMS,24,118,"Volumes 30, 31",adams-1890,01/01/1890,07/31/1890,"Volumes 30, 31",3,229,458,https://catalog.archives.gov/id/33206072,Arctic
ADAMS,24,118,"Volumes 33, 34, 35",adams-1893,01/01/1893,12/31/1893,"Volumes 33, 34, 35",3,387,774,https://catalog.archives.gov/id/33206626,Arctic
ADAMS,24,118,"Volumes 35, 36, 37",adams-1894,01/01/1894,11/16/1894,"Volumes 35, 36, 37",3,363,726,https://catalog.archives.gov/id/33207015,Arctic
ADAMS,24,118,"Volumes 38, 39",adams-1896,01/01/1896,12/31/1896,"Volumes 38, 39",2,376,752,https://catalog.archives.gov/id/33207397,Arctic
ADAMS,24,118,"Volumes 40, 41",adams-1897,01/01/1897,12/31/1897,"Volumes 40, 41",2,496,992,https://catalog.archives.gov/id/33207775,Arctic
ADAMS,24,118,"Volumes 42, 43",adams-1898,01/01/1898; 10/07/1898,04/30/1898; 12/31/1898,"Volumes 42, 43",2,256,512,https://catalog.archives.gov/id/33208273,Arctic
ADAMS,24,118,"Volumes 43, 44, 45",adams-1899,01/01/1899,12/31/1899,"Volumes 43, 44, 45",3,396,792,https://catalog.archives.gov/id/33208531,Arctic
ADAMS,24,118,Volume 4,adams-vol04of57,02/03/1877,08/10/1877,Volume 4,1,211,422,https://catalog.archives.gov/id/33219796,Arctic
ADAMS,24,118,Volume 8,adams-vol08of57 ,02/22/1878,09/05/1878,Volume 8,1,215,430,https://catalog.archives.gov/id/33220219,Arctic
ADAMS,24,118,"Volumes 32, 33",adams-1892,03/23/1892,12/31/1892,"Volumes 32, 33",3,321,642,https://catalog.archives.gov/id/33206303,Arctic
ADAMS,24,118,Volume 2,adams-1876,07/21/1876,12/31/1876,Volume 2,1,189,378,https://catalog.archives.gov/id/33201146,Arctic
ADAMS,24,118,Volume 1,adams-vol01of57,07/21/1876,02/02/1877,Volume 1,1,220,440,https://catalog.archives.gov/id/33219574,Arctic
ADAMS,24,118,Volume 6,adams-vol06of57,08/11/1877,02/21/1878,Volume 6,1,208,416,https://catalog.archives.gov/id/33220009,Arctic
ADAMS,24,118,Volume 21,adams-1885,11/02/1885,12/31/1885,Volume 21,1,73,146,https://catalog.archives.gov/id/33204455,Arctic
ADAMS,24,118,Volume 38,adams-1895,12/24/1895,12/31/1895,Volume 38,1,15,30,https://catalog.archives.gov/id/33207380,Arctic
ADVANCE,24,118,Volume 2,advance-1851,01/01/1851,10/11/1851,Volume 2,1,145,289,https://catalog.archives.gov/id/24342516,Arctic
ADVANCE,24,118,Volume 1,advance-1850,05/23/1850,12/31/1850,Volume 1,1,116,231,https://catalog.archives.gov/id/24342398,Arctic
AJAX I,24,118,Vol01of30,vol01of30 (1871-01-01_1871-07-01),01/01/1871,07/01/1871,Vol01of30,1,195,390,NOT SHIPPED YET,Chinese Waters
AJAX I,24,118,Vol06of30,Vol06of30 (1876-01-01_1878-04-01),01/01/1876,04/01/1878,Vol06of30,1,191,382,NOT SHIPPED YET,Chinese Waters
AJAX I,24,118,Vol02of30,Vol02of30 (1874-01-13_1874-07-08),01/13/1874,07/08/1874,Vol02of30,1,188,376,NOT SHIPPED YET,Chinese Waters
AJAX I,24,118,Vol04of30,Vol04of30 (1876-01-21_1876-04-30),01/21/1876,04/30/1876,Vol04of30,1,114,228,NOT SHIPPED YET,Chinese Waters
AJAX I,24,118,Vol05of30,Vol05of30 (1876-01-21_1876-08-06),01/21/1876,08/06/1876,Vol05of30,1,215,430,NOT SHIPPED YET,Chinese Waters
AJAX I,24,118,Vol08of30,vol08of30 (1878-04-01_1881-05-29),04/01/1878,05/29/1881,Vol08of30,1,196,390,NOT SHIPPED YET,Chinese Waters
AJAX I,24,118,Vol11of30,Vol11of30 (1889-04-01_1891-06-30),04/01/1889,06/30/1891,Vol11of30,1,189,376,NOT SHIPPED YET,Chinese Waters
AJAX I,24,118,Vol09of30,vol09of30 (1881-06-01_1885-07-30),06/01/1881,07/30/1885,Vol09of30,1,191,380,NOT SHIPPED YET,Chinese Waters
AJAX I,24,118-C,Box 1 of 1,B01of01 (1898-07-09_1898-09-01),07/09/1898,09/01/1898,Box 1 of 1,1,37,74,NOT SHIPPED YET,Chinese Waters
AJAX I,24,118,Vol03of30,Vol03of30 (1874-07-10_1875-12-30),07/10/1874,12/31/1875,Vol03of30,1,177,354,NOT SHIPPED YET,Chinese Waters
AJAX I,24,118,Vol10of30,Vol10of30 (1885-08-01_1889-03-31),08/01/1885,03/31/1889,Vol10of30,1,192,382,NOT SHIPPED YET,Chinese Waters
AJAX I,24,118,Vol07of30,Vol07of30 (1876-08-07_1877-02-25),08/07/1876,02/25/1877,Vol07of30,1,212,422,NOT SHIPPED YET,Chinese Waters
AJAX II,24,118,Vol13of30,Vol13of30 (1901-01-01_1901-03-16),01/01/1901,03/16/1901,Vol13of30,1,92,182,NOT SHIPPED YET,Chinese Waters
AJAX II,24,118,Vol14of30,Vol14of30 (1905-01-01_1905-06-30),01/01/1905,06/30/1905,Vol14of30,1,190,378,NOT SHIPPED YET,Chinese Waters
AJAX II,24,118,Vol16of30,vol16of30 (1907-01-23_1907_07-31),01/23/1907,07/31/1907,Vol16of30,1,200,398,NOT SHIPPED YET,Chinese Waters
AJAX II,24,118,Vol15of30,,,,Vol15of30,,,,NOT SHIPPED YET,Chinese Waters
ALBATROSS,24,118,Volume 36 of 55,vol036of055,03/01/1900,08/31/1900,Volume 36 of 55,1,193,385,http://research.archives.gov/description/7696713,Arctic
ALBATROSS,24,118,Volume 37 of 55,vol037of055,09/01/1900,12/31/1900,Volume 37 of 55,1,133,265,http://research.archives.gov/description/7696714,Arctic
ALBATROSS,24,118,Volume 38 of 55,vol038of055,01/01/1901,06/30/1901,Volume 38 of 55,1,191,381,http://research.archives.gov/description/7696715,Arctic
ALBATROSS,24,118,Volume 39 of 55,vol039of055,03/01/1904,10/31/1904,Volume 39 of 55,1,253,505,http://research.archives.gov/description/7696716,Arctic
ALBATROSS,24,118,Volume 40 of 55,vol040of055,11/01/1904,06/30/1905,Volume 40 of 55,1,266,531,http://research.archives.gov/description/7696717,Arctic
ALBATROSS,24,118,Volume 41 of 55,vol041of055,07/01/1907,02/29/1908,Volume 41 of 55,1,275,549,http://research.archives.gov/description/7696718,Arctic
ALBATROSS,24,118,Volume 42 of 55,vol042of055,03/01/1908,10/23/1908,Volume 42 of 55,1,251,501,http://research.archives.gov/description/7696719,Arctic
ALBATROSS,24,118,Volume 43 of 55,vol043of055,10/24/1908,06/22/1909,Volume 43 of 55,1,260,519,http://research.archives.gov/description/7696720,Arctic
ALBATROSS,24,118,Volume 44 of 55,vol044of055,06/23/1909,02/20/1910,Volume 44 of 55,1,265,529,http://research.archives.gov/description/7696721,Arctic
ALBATROSS,24,118,Volume 45 of 55,vol045of055,05/01/1910,10/31/1910,Volume 45 of 55,1,212,423,http://research.archives.gov/description/7696722,Arctic
ALBATROSS,24,118,Volume 46 of 55,vol046of055,10/18/1910,06/18/1911,Volume 46 of 55,1,268,534,http://research.archives.gov/description/7696723,Arctic
ALBATROSS,24,118,Volume 47 of 55,vol047of055,06/01/1911,12/31/1911,Volume 47 of 55,1,273,545,http://research.archives.gov/description/7696724,Arctic
ALBATROSS,24,118,Volume 48 of 55,vol048of055,01/01/1912,06/30/1912,Volume 48 of 55,1,228,455,http://research.archives.gov/description/7696725,Arctic
ALBATROSS,24,118,Volume 49 of 55,vol049of055,07/01/1912,12/31/1912,Volume 49 of 55,1,226,451,http://research.archives.gov/description/7696726,Arctic
