platform.name                      , "Rough Log of USCG Storis, 09/06/1957 - 09/30/1957"
document.id_within_archive         , 10675400
document.id_within_archive_type    , naID
document.is_instance_of_a          , Navy Deck Log (NDL)
document.accession_to_archive_date , 20160819
document.standardized_region_list  ,
document.start_date                , 19570906
document.end_date                  , 19570930
document.rights_statement          , Public Domain
document.notes                     ,
