EXPLORER,23,102,b1851,explorer_smooth-b1851,04/01/1905,12/31/1905,b1851,1,296,592,NOT SHIPPED YET,USCGS
EXPLORER,23,102,,explorer_rough-b1851,07/01/1905,12/31/1905,,1,199,398,NOT SHIPPED YET,USCGS
EXPLORER,23,102,b1852,explorer_smooth-b1852,01/01/1906,12/31/1906,b1852,1,399,798,NOT SHIPPED YET,USCGS
EXPLORER,23,102,,explorer_rough-b1852,01/01/1906,03/31/1906,,1,94,188,NOT SHIPPED YET,USCGS
EXPLORER,23,102,b1853,explorer-b1853,01/01/1907,03/31/1908,b1853,1,599,1193,NOT SHIPPED YET,USCGS
EXPLORER,23,102,b1873,explorer-b1873,10/01/1933,12/31/1934,b1873,1,479,958,NOT SHIPPED YET,USCGS
EXPLORER,23,102,b1874,explorer-b1874,01/01/1935,03/01/1936,b1874,1,482,964,NOT SHIPPED YET,USCGS
EXPLORER,23,102,b1875,explorer-b1875,04/01/1936,06/30/1937,b1875,1,480,960,NOT SHIPPED YET,USCGS
EXPLORER,23,102,b1876,explorer-b1876,07/01/1937,09/30/1938,b1876,1,481,962,NOT SHIPPED YET,USCGS
EXPLORER,23,102,b1877,explorer-b1877,10/01/1938,10/16/1939,b1877,1,421,842,NOT SHIPPED YET,USCGS
GEDNEY,23,102,b1895,gedney-b1895,07/21/1889,11/19/1890,b1895,1,507,1014,NOT SHIPPED YET,USCGS
GEDNEY,23,102,b1896,gedney-b1896,11/20/1890,03/16/1892,b1896,1,503,1006,NOT SHIPPED YET,USCGS
GEDNEY,23,102,b1897,gedney-b1897,03/14/1892,07/11/1893,b1897,1,505,1010,NOT SHIPPED YET,USCGS
GEDNEY,23,102,b1898,gedney-b1898,07/12/1893,11/07/1894,b1898,1,505,1010,NOT SHIPPED YET,USCGS
GEDNEY,23,102,b1899,gedney_smooth-b1899,11/08/1894,05/18/1895,b1899,1,202,404,NOT SHIPPED YET,USCGS
GEDNEY,23,102,,gedney_rough-b1899,11/08/1894,08/23/1895,,1,307,614,NOT SHIPPED YET,USCGS
GEDNEY,23,102,b1900,gedney_smooth-b1900,05/19/1895,03/04/1896,b1900,1,303,606,NOT SHIPPED YET,USCGS
GEDNEY,23,102,,gedney_rough-b1900,08/24/1895,03/04/1896,,1,204,408,NOT SHIPPED YET,USCGS
GEDNEY,23,102,b1901,gedney_smooth-b1901,03/05/1896,09/14/1896,b1901,1,202,404,NOT SHIPPED YET,USCGS
GEDNEY,23,102,,gedney_rough-b1901,03/05/1896,12/31/1896,,1,320,640,NOT SHIPPED YET,USCGS
GEDNEY,23,102,b1902,gedney_smooth-b1902,09/15/1896,03/31/1896,b1902,1,209,418,NOT SHIPPED YET,USCGS
GEDNEY,23,102,,gedney_rough-b1902,01/01/1897,06/30/1897,,1,198,396,NOT SHIPPED YET,USCGS
GEDNEY,23,102,b1903,gedney_smooth-b1903,04/01/1897,12/31/1897,b1903,1,286,572,NOT SHIPPED YET,USCGS
GEDNEY,23,102,,gedney_rough-b1903,07/01/1897,12/31/1897,,1,206,412,NOT SHIPPED YET,USCGS
GEDNEY,23,102,1915,gedney-b1915,10/01/1913,12/31/1914,1915,1,492,982,NOT SHIPPED YET,USCGS
GEDNEY,23,102,1914,gedney-b1914,07/01/1912,09/30/1913,1914,1,548,1094,NOT SHIPPED YET,USCGS
GEDNEY,23,102,1913,gedney-b1913,04/01/1911,06/01/1912,1913,1,510,1018,NOT SHIPPED YET,USCGS
GEDNEY,23,102,1912,gedney-b1912,01/01/1910,03/31/1911,1912,1,484,966,NOT SHIPPED YET,USCGS
GEDNEY,23,102,1911,gedney-b1911,10/01/1908,12/31/1909,1911,1,493,984,NOT SHIPPED YET,USCGS
GEDNEY,23,102,1910,gedney-b1910,07/01/1907,09/30/1908,1910,1,502,1002,NOT SHIPPED YET,USCGS
GEDNEY,23,102,1909,gedney-b1909,07/01/1905,07/06/1907,1909,1,429,856,NOT SHIPPED YET,USCGS
GEDNEY,23,102,1908,gedney-b1908,10/01/1903,06/30/1905,1908,1,337,672,NOT SHIPPED YET,USCGS
GEDNEY,23,102,1907,gedney-b1907,10/01/1901,09/30/1903,1907,1,413,824,NOT SHIPPED YET,USCGS
GEDNEY,23,102,1906,gedney-b1906,07/01/1900,09/30/1901,1906,1,482,962,NOT SHIPPED YET,USCGS
GEDNEY,23,102,1905,gedney-b1905,04/01/1898,06/30/1900,1905,1,483,964,NOT SHIPPED YET,USCGS
GEDNEY,23,102,1904,gedney-b1904,01/31/1898,03/31/1899,1904,1,484,966,NOT SHIPPED YET,USCGS
HASSLER,23,102,Volume 73 and 78,hassler-1874,01/01/1874,12/31/1874,Volume 73 and 78,2,386,772,https://catalog.archives.gov/id/24331363,Arctic
HASSLER,23,102,"Volumes 71, 72, 73 and 78",hassler-1875,01/01/1875,12/31/1875,"Volumes 71, 72, 73 and 78",4,389,776,https://catalog.archives.gov/id/24331751,Arctic
HASSLER,23,102,Volume 71 and 74,hassler-1876,01/01/1876,09/24/1876,Volume 71 and 74,2,281,561,https://catalog.archives.gov/id/24332142,Arctic
